Date,Open,High,Low,Close,Adj Close,Volume
2005-07-01,37.830002,39.970001,37.020000,38.759998,21.572779,48266556
2005-08-01,38.660000,39.919998,35.599998,36.419998,20.270395,72957746
2005-09-01,36.599998,39.709999,35.970001,39.060001,21.739759,70861169
2005-10-01,39.369999,40.090000,35.950001,36.200001,20.147953,55285756
2005-11-01,36.250000,38.070000,34.970001,37.320000,20.771315,61613337
2005-12-01,37.320000,38.439999,36.610001,37.049999,20.621038,37599408
2006-01-01,37.189999,37.939999,35.520000,37.230000,20.721226,57269088
2006-02-01,37.049999,41.119999,37.000000,40.340000,22.452168,61079642
2006-03-01,40.450001,46.470001,38.619999,45.450001,26.178917,86398734
2006-04-01,45.520000,46.470001,43.070000,43.110001,24.831095,39749317
2006-05-01,43.110001,44.180000,38.500000,40.139999,23.120394,65517580
2006-06-01,39.970001,40.279999,36.310001,39.060001,22.855171,48107450
2006-07-01,39.000000,40.560001,37.380001,40.410000,23.645092,46546314
2006-08-01,40.450001,41.290001,38.380001,40.439999,23.662647,52012782
2006-09-01,40.540001,42.500000,38.560001,42.240002,24.715878,50350985
2006-10-01,42.119999,45.889999,41.360001,45.000000,26.330839,63601914
2006-11-01,45.209999,46.080002,41.240002,41.660000,24.376505,62347262
2006-12-01,41.849998,43.849998,40.810001,43.509998,25.458992,44895936
2007-01-01,43.509998,47.709999,42.410000,46.799999,27.384071,66984404
2007-02-01,47.099998,47.480000,43.040001,43.910000,26.518972,74900047
2007-03-01,43.750000,44.419998,40.400002,44.169998,26.675999,99432787
2007-04-01,44.250000,46.080002,42.599998,45.320000,27.370531,67179810
2007-05-01,45.320000,51.490002,44.520000,49.770000,30.058064,92911092
2007-06-01,49.770000,50.990002,46.360001,48.009998,29.401707,73770780
2007-07-01,47.669998,50.099998,44.209999,45.830002,28.066656,75555935
2007-08-01,43.400002,44.790001,42.430000,44.630001,27.331766,88373388
2007-09-01,44.889999,48.919998,41.939999,45.230000,27.699213,98232483
2007-10-01,45.400002,48.189999,44.779999,46.230000,28.311621,69221266
2007-11-01,46.099998,46.660000,39.419998,41.700001,25.537411,96824552
2007-12-01,41.970001,43.200001,40.099998,42.349998,25.935480,59559042
2008-01-01,42.349998,43.619999,33.770000,36.799999,22.536612,128203710
2008-02-01,37.160000,38.880001,33.830002,36.180000,22.156925,97295387
2008-03-01,35.759998,36.700001,30.930000,34.990002,21.428156,96326162
2008-04-01,34.820000,36.799999,33.090000,35.250000,21.587383,80811786
2008-05-01,35.860001,38.070000,34.509998,38.070000,24.776085,80567151
2008-06-01,38.040001,38.049999,29.260000,30.549999,20.456921,88293980
2008-07-01,30.549999,32.459999,26.639999,28.910000,19.358747,103400019
2008-08-01,26.100000,32.169998,25.799999,28.000000,18.749390,137567102
2008-09-01,27.740000,30.920000,26.584999,27.290001,18.273956,116791805
2008-10-01,27.680000,27.825001,16.000000,20.115000,13.469425,162282146
2008-11-01,20.719999,23.535000,17.540001,19.674999,13.174795,102829181
2008-12-01,19.850000,23.090000,18.510000,21.610001,14.470510,63312746
2009-01-01,21.610001,23.110001,17.215000,18.610001,12.461647,69969980
2009-02-01,18.309999,24.500000,17.340000,19.750000,13.225016,82687096
2009-03-01,19.299999,24.150000,18.665001,21.790001,14.591043,91110358
2009-04-01,21.760000,28.100000,21.639999,26.250000,17.577553,78777113
2009-05-01,26.250000,29.590000,23.570000,25.395000,17.005028,55628830
2009-06-01,25.955000,29.600000,25.475000,26.840000,18.193106,54892903
2009-07-01,26.900000,32.680000,24.965000,32.430000,21.982212,49329263
2009-08-01,32.020000,33.110001,30.465000,31.775000,21.538227,37676433
2009-09-01,31.924999,35.660000,29.910000,32.950001,22.334681,58179815
2009-10-01,33.080002,36.474998,31.205000,33.294998,22.568535,58453684
2009-11-01,33.130001,34.820000,30.490000,31.424999,21.300983,55960696
2009-12-01,31.700001,33.099998,31.250000,31.799999,21.555170,36991229
2010-01-01,31.820000,33.430000,29.379999,30.959999,20.985786,53491398
2010-02-01,30.690001,31.775000,28.280001,29.785000,20.189335,52999091
2010-03-01,30.205000,34.730000,29.950001,34.180000,23.168417,58196067
2010-04-01,35.110001,37.959999,34.439999,37.130001,25.168034,53812591
2010-05-01,37.080002,40.064999,34.639999,37.965000,25.734026,78728659
2010-06-01,37.959999,42.325001,36.980000,40.064999,27.364527,59944234
2010-07-01,39.560001,43.294998,37.794998,41.310001,28.214870,63321775
2010-08-01,41.459999,45.380001,40.154999,41.665001,28.457331,52217541
2010-09-01,42.000000,52.150002,41.380001,51.439999,35.133686,76279661
2010-10-01,51.439999,51.650002,47.820000,51.509998,35.181503,57376076
2010-11-01,51.770000,60.000000,50.650002,57.930000,39.566383,59271952
2010-12-01,58.349998,65.489998,57.660000,58.849998,40.194744,52372698
2011-01-01,59.259998,61.740002,54.169998,56.080002,38.302826,63830877
2011-02-01,57.029999,63.680000,55.230000,58.779999,40.146927,55638113
2011-03-01,59.320000,61.099998,52.009998,58.750000,40.126446,72368496
2011-04-01,59.200001,63.669998,56.220001,63.669998,43.486816,47870001
2011-05-01,64.000000,65.300003,58.830002,61.480000,41.991043,77521533
2011-06-01,61.279999,70.019997,59.259998,68.809998,47.984322,59969044
2011-07-01,68.699997,73.849998,64.190002,69.820000,48.688633,56223610
2011-08-01,71.599998,71.760002,49.834999,56.349998,39.295395,112679156
2011-09-01,56.500000,57.970001,48.650002,49.965000,34.842854,93569892
2011-10-01,47.259998,62.470001,43.490002,59.060001,41.185207,77958653
2011-11-01,57.250000,61.160000,48.520000,55.980000,39.037380,69641049
2011-12-01,55.630001,57.410000,49.419998,51.759998,36.094582,48918819
2012-01-01,51.840000,66.500000,51.450001,65.389999,45.599396,55051313
2012-02-01,65.129997,72.660004,65.129997,69.430000,48.416676,53873894
2012-03-01,69.360001,73.949997,65.669998,67.430000,47.021984,69301344
2012-04-01,68.379997,72.669998,65.080002,71.809998,50.076351,51235333
2012-05-01,71.809998,73.949997,60.599998,61.099998,42.607784,63597755
2012-06-01,61.070000,61.099998,53.160000,56.930000,41.121468,60844723
2012-07-01,56.900002,61.430000,54.759998,60.770000,43.895157,55794638
2012-08-01,59.299999,62.040001,56.209999,57.660000,41.648754,53794428
2012-09-01,57.230000,62.490002,54.349998,56.910000,41.107018,55997711
2012-10-01,56.849998,63.680000,56.509998,61.450001,44.386333,51327631
2012-11-01,61.750000,68.589996,61.570000,68.190002,49.254745,50767112
2012-12-01,68.459999,74.000000,67.510002,72.930000,52.678532,27669167
2013-01-01,72.930000,76.160004,71.599998,74.150002,53.559753,33339043
2013-02-01,74.239998,75.370003,68.070000,70.699997,51.067757,34959363
2013-03-01,70.699997,73.099998,66.879997,67.309998,48.619106,39505871
2013-04-01,67.309998,70.790001,63.270000,70.050003,50.598259,40685286
2013-05-01,70.050003,74.279999,69.870003,73.690002,53.227482,40701580
2013-06-01,73.250000,74.480003,63.820000,67.180000,50.238430,43055778
2013-07-01,67.540001,74.959999,64.440002,73.589996,55.031937,32954760
2013-08-01,73.459999,75.750000,70.080002,71.290001,53.311958,28280034
2013-09-01,72.330002,82.440002,70.889999,79.470001,59.429111,32344101
2013-10-01,79.970001,84.050003,78.230003,83.540001,62.472729,31290942
2013-11-01,83.360001,85.019997,79.559998,84.570000,63.242989,28568159
2013-12-01,84.720001,85.730003,79.330002,85.220001,63.729065,24304185
2014-01-01,85.220001,86.879997,78.669998,80.820000,60.438667,34944202
2014-02-01,81.070000,86.360001,79.040001,84.199997,62.966290,33561010
2014-03-01,82.220001,92.910004,77.580002,91.620003,68.515106,46536865
2014-04-01,92.449997,94.389999,88.010002,90.180000,67.438248,27442490
2014-05-01,90.180000,92.269997,85.550003,92.089996,68.866562,29760028
2014-06-01,91.750000,94.209999,90.019997,92.620003,71.368919,25902296
2014-07-01,92.860001,96.099998,89.019997,89.339996,68.841499,29605167
2014-08-01,89.360001,91.739998,83.750000,88.599998,68.271286,31202763
2014-09-01,88.750000,92.750000,83.940002,85.019997,65.512688,32415517
2014-10-01,86.000000,86.559998,74.739998,85.320000,65.743851,50282668
2014-11-01,85.400002,91.949997,81.730003,91.949997,70.852646,31883418
2014-12-01,91.099998,92.989998,83.260002,89.769997,69.172836,28979468
2015-01-01,89.769997,105.550003,84.550003,103.400002,79.675514,43368451
2015-02-01,103.650002,113.000000,101.449997,113.000000,87.072853,26613484
2015-03-01,113.500000,123.750000,110.550003,116.449997,89.731270,42845360
2015-04-01,115.500000,117.900002,104.699997,106.099998,81.756012,35496646
2015-05-01,106.099998,110.000000,100.050003,100.699997,77.595009,40275461
2015-06-01,101.000000,105.449997,95.169998,98.180000,77.804131,51299868
2015-07-01,99.529999,102.400002,88.529999,91.300003,72.351982,57228092
2015-08-01,91.250000,93.980003,74.589996,82.220001,65.156403,55919431
2015-09-01,80.870003,88.879997,72.050003,79.220001,62.779007,65207412
2015-10-01,80.620003,94.459999,76.120003,93.360001,73.984459,37270519
2015-11-01,92.730003,104.099998,89.739998,103.300003,81.861549,32013321
2015-12-01,103.599998,104.849998,91.570000,97.629997,77.368271,28595589
2016-01-01,97.629997,97.629997,75.459999,76.660004,60.750313,41690435
2016-02-01,76.889999,77.000000,66.000000,75.150002,59.553680,41656370
2016-03-01,75.269997,83.510002,75.000000,80.699997,63.951855,43112303
2016-04-01,79.599998,85.070000,73.300003,80.500000,63.793369,37428978
2016-05-01,81.320000,82.730003,69.940002,75.889999,60.140102,42008465
2016-06-01,75.919998,75.959999,64.980003,65.790001,54.436768,50548587
2016-07-01,66.269997,78.800003,63.380001,77.050003,63.753654,40571034
2016-08-01,78.440002,81.199997,73.730003,78.010002,64.547989,31282500
2016-09-01,78.269997,79.800003,72.019997,74.809998,61.900204,33538416
2016-10-01,74.809998,80.540001,74.809998,79.370003,65.673294,29978428
2016-11-01,79.800003,83.489998,73.400002,80.410004,66.533829,39492423
2016-12-01,80.160004,90.849998,78.559998,88.750000,73.434608,32245902
2017-01-01,88.339996,91.760002,84.169998,84.169998,69.644966,30879583
2017-02-01,84.830002,87.589996,82.470001,84.370003,69.810455,26245610
2017-03-01,85.000000,87.669998,81.099998,85.510002,70.753738,41949011
2017-04-01,85.980003,88.970001,81.760002,87.650002,72.524437,32944951
2017-05-01,87.650002,91.059998,83.169998,83.290001,68.916832,41260108
2017-06-01,83.510002,87.000000,81.199997,81.279999,69.970543,35052511
2017-07-01,80.510002,84.879997,77.070000,77.709999,66.897270,38985596
2017-08-01,78.010002,82.430000,77.400002,78.000000,67.146927,31968074
2017-09-01,78.199997,85.830002,77.889999,85.830002,73.887451,32221221
2017-10-01,86.000000,89.349998,84.919998,87.500000,75.325081,28382567
2017-11-01,88.120003,90.680000,84.400002,84.680000,72.897461,34046760
2017-12-01,84.660004,88.220001,82.870003,86.830002,74.748306,26556616
2018-01-01,86.830002,97.500000,83.879997,91.970001,79.173111,43754352
2018-02-01,92.139999,93.449997,85.080002,86.820000,74.739700,40367887
2018-03-01,86.400002,88.919998,81.820000,88.150002,75.884636,47063503
2018-04-01,88.150002,92.470001,86.620003,92.470001,79.603539,35305716
2018-05-01,92.470001,93.870003,84.900002,85.379997,73.500053,40254079
2018-06-01,85.809998,87.919998,77.029999,77.629997,69.821846,41652821
2018-07-01,77.099998,84.480003,76.500000,82.690002,74.372902,40077857
2018-08-01,83.739998,85.750000,79.220001,83.410004,75.020485,38656606
2018-09-01,82.949997,86.739998,76.669998,77.709999,69.893799,42949402
2018-10-01,77.940002,79.440002,71.790001,76.230003,68.562660,46004866
2018-11-01,76.519997,79.120003,71.360001,72.209999,64.946999,42682352
2018-12-01,76.699997,77.559998,69.120003,70.699997,63.588871,40525556
2019-01-01,70.699997,74.750000,68.790001,73.459999,66.071266,33401132
2019-02-01,73.750000,74.470001,68.110001,74.309998,66.835770,33892957
2019-03-01,74.900002,76.500000,67.730003,68.750000,61.835007,38722418
2019-04-01,69.639999,78.300003,69.589996,75.900002,68.265854,34322068
2019-05-01,75.900002,76.779999,61.410000,62.020000,55.781925,50117453
2019-06-01,61.700001,65.620003,61.139999,65.089996,61.633644,35117484
2019-07-01,66.519997,70.559998,64.239998,66.830002,63.281254,37307096
2019-08-01,67.000000,67.970001,58.040001,60.810001,57.580921,37815948
2019-09-01,60.500000,65.620003,60.009998,64.589996,61.160194,30501646
2019-10-01,64.900002,70.540001,61.369999,68.709999,65.061424,34337488
2019-11-01,68.889999,75.879997,68.690002,73.300003,69.407692,31682508
2019-12-01,73.389999,77.059998,71.309998,73.139999,69.256180,25834917
2020-01-01,73.139999,75.349998,64.209999,64.339996,60.923470,31174525
2020-02-01,64.339996,67.279999,57.160000,58.930000,55.800751,45872074
2020-03-01,59.400002,59.599998,36.595001,47.115002,44.613144,90429865
2020-04-01,45.505001,57.259998,43.610001,54.049999,51.179882,48537831
2020-05-01,52.299999,55.810001,45.299999,52.599998,49.806881,50735860
2020-06-01,54.610001,61.820000,53.849998,56.820000,56.820000,51442707
2020-07-01,56.009998,62.400002,54.680000,54.700001,54.700001,33554631
2020-08-01,54.700001,61.770000,54.230000,60.150002,60.150002,34525699
2020-09-01,61.259998,65.000000,58.779999,61.990002,61.990002,30330198
2020-10-01,63.110001,66.410004,57.250000,58.680000,58.680000,32090045
2020-11-01,59.000000,77.309998,58.130001,73.040001,73.040001,39964286
2020-12-01,73.739998,75.000000,73.290001,74.949997,74.949997,4721553
