year;brand;satisfactionScore
2005;Audi;NA
2006;Audi;NA
2007;Audi;NA
2008;Audi;NA
2009;Audi;NA
2010;Audi;NA
2011;Audi;NA
2012;Audi;NA
2013;Audi;NA
2014;Audi;79
2015;Audi;78
2016;Audi;83
2017;Audi;82
2018;Audi;83
2019;Audi;82
2020;Audi;80
1995;Mitsubishi;NA
1996;Mitsubishi;NA
1997;Mitsubishi;NA
1998;Mitsubishi;NA
1999;Mitsubishi;NA
2000;Mitsubishi;NA
2001;Mitsubishi;NA
2002;Mitsubishi;NA
2003;Mitsubishi;NA
2004;Mitsubishi;NA
2005;Mitsubishi;NA
2006;Mitsubishi;NA
2007;Mitsubishi;NA
2008;Mitsubishi;NA
2009;Mitsubishi;NA
2010;Mitsubishi;NA
2011;Mitsubishi;NA
2012;Mitsubishi;NA
2013;Mitsubishi;NA
2014;Mitsubishi;NA
2015;Mitsubishi;77
2016;Mitsubishi;79
2017;Mitsubishi;78
2018;Mitsubishi;79
2019;Mitsubishi;76
2020;Mitsubishi;77
1995;Acura;NA
1996;Acura;NA
1997;Acura;NA
1998;Acura;NA
1999;Acura;NA
2000;Acura;NA
2001;Acura;NA
2002;Acura;NA
2003;Acura;NA
2004;Acura;NA
2005;Acura;NA
2006;Acura;NA
2007;Acura;NA
2008;Acura;NA
2009;Acura;NA
2010;Acura;NA
2011;Acura;NA
2012;Acura;NA
2013;Acura;83
2014;Acura;77
2015;Acura;83
2016;Acura;76
2017;Acura;80
2018;Acura;81
2019;Acura;78
2020;Acura;77
1995;Lexus;NA
1996;Lexus;NA
1997;Lexus;NA
1998;Lexus;NA
1999;Lexus;NA
2000;Lexus;NA
2001;Lexus;NA
2002;Lexus;NA
2003;Lexus;NA
2004;Lexus;NA
2005;Lexus;NA
2006;Lexus;86
2007;Lexus;87
2008;Lexus;87
2009;Lexus;89
2010;Lexus;85
2011;Lexus;87
2012;Lexus;89
2013;Lexus;87
2014;Lexus;84
2015;Lexus;84
2016;Lexus;84
2017;Lexus;86
2018;Lexus;85
2019;Lexus;84
2020;Lexus;82
1995;Kia;NA
1996;Kia;NA
1997;Kia;NA
1998;Kia;NA
1999;Kia;NA
2000;Kia;NA
2001;Kia;NA
2002;Kia;NA
2003;Kia;NA
2004;Kia;NA
2005;Kia;NA
2006;Kia;77
2007;Kia;78
2008;Kia;80
2009;Kia;81
2010;Kia;80
2011;Kia;81
2012;Kia;82
2013;Kia;82
2014;Kia;82
2015;Kia;78
2016;Kia;79
2017;Kia;82
2018;Kia;79
2019;Kia;76
2020;Kia;77
1995;GMC;NA
1996;GMC;NA
1997;GMC;80
1998;GMC;78
1999;GMC;81
2000;GMC;81
2001;GMC;79
2002;GMC;81
