region;Time;Total;Petroleum products;Liquefied petroleum gases;Diesel;Natural Gas;Electricity;Alternative Energy;Petrol_excluding hybrids  ;Hybrid electric-petrol;Plug-in hybrid petrol-electric;Diesel_excluding hybrids;Hybrid diesel-electric;Plug-in hybrid diesel-electric;Hydrogen and fuel cells ;Bioethanol;Biodiesel;Bi-fuel;Other
Portugal;2015;4722963;2197778;48062;2475552;15;1398;49633;2184146;13008;624;2471985;3519;48;0;16;0;140;2
Portugal;2016;4850229;2173139;49301;2625271;21;2383;51819;2156073;15507;1559;2619720;5323;228;0;22;0;90;2
Portugal;2017;5059472;2193135;52315;2809198;33;4667;57139;2168924;20036;4175;2800640;8139;419;0;24;0;97;3
Portugal;2018;5282970;2253017;56213;2963408;38;9980;66545;2217506;26794;8717;2952260;10166;982;0;22;0;289;3
Romania;2012;4487000;3005000;NA;1480000;NA;1000;1000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Romania;2013;4695660;3086276;595;1606356;384;2042;3028;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Romania;2014;4907564;3161031;1557;1741719;512;2737;4814;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Romania;2015;5155059;3241746;2494;1906195;753;3863;7118;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8
Romania;2016;5472423;3340914;3857;2120151;1144;6348;11358;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9
Romania;2017;5998194;3465038;5272;2516380;1556;9947;16776;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1
Romania;2018;6452536;3548968;16;2892922;167;1103;10646;3535317;13651;NA;2891140;1782;NA;NA;NA;NA;9354;6
Slovenia;2012;1066030;655120;NA;410020;NA;NA;890;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Slovenia;2013;1066795;633646;NA;429303;NA;NA;846;633646;NA;NA;429303;NA;NA;NA;NA;NA;NA;NA
Slovenia;2014;1068362;609213;7313;450422;99;133;8727;609213;NA;NA;450422;NA;NA;NA;NA;NA;NA;1182
